latitude_deg,longitude_deg_east,elevation_m,hemisphere
88.875,1.125,-1483.5,North
88.875,3.125,-1500.0,North
88.875,5.125,-1487.0,North
88.875,7.125,-1488.0,North
88.875,9.125,-1514.0,North
88.875,11.125,-1495.0,North
88.875,13.125,-1497.5,North
88.875,15.125,-1495.5,North
88.875,17.125,-1518.5,North
88.875,19.125,-1514.5,North
88.875,21.125,-1514.0,North
88.875,23.125,-1528.5,North
88.875,25.125,-1525.0,North
88.875,27.125,-1508.5,North
88.875,29.125,-1525.0,North
88.875,31.125,-1581.0,North
88.875,33.125,-1565.0,North
88.875,35.125,-1541.5,North
88.875,37.125,-1525.0,North
88.875,39.125,-1512.0,North
88.875,41.125,-1487.5,North
88.875,43.125,-1449.0,North
88.875,45.125,-1454.0,North
88.875,47.125,-1465.0,North
88.875,49.125,-1478.0,North
88.875,51.125,-1450.5,North
88.875,53.125,-1435.0,North
88.875,55.125,-1453.5,North
88.875,57.125,-1448.0,North
88.875,59.125,-1431.0,North
88.875,61.125,-1435.5,North
88.875,63.125,-1410.0,North
88.875,65.125,-1383.0,North
88.875,67.125,-1389.5,North
88.875,69.125,-1336.0,North
88.875,71.125,-1338.5,North
88.875,73.125,-1333.5,North
88.875,75.125,-1299.5,North
88.875,77.125,-1127.0,North
88.875,79.125,-1069.5,North
88.875,81.125,-1099.0,North
88.875,83.125,-950.5,North
88.875,85.125,-884.5,North
88.875,87.125,-942.5,North
88.875,89.125,-1206.0,North
88.875,91.125,-1054.0,North
88.875,93.125,-1136.0,North
88.875,95.125,-1119.5,North
88.875,97.125,-994.0,North
88.875,99.125,-831.5,North
88.875,101.125,-615.0,North
88.875,103.125,-576.0,North
88.875,105.125,-473.0,North
88.875,107.125,-484.5,North
88.875,109.125,-637.5,North
88.875,111.125,-437.5,North
88.875,113.125,-177.5,North
88.875,115.125,-472.0,North
88.875,117.125,-637.5,North
88.875,119.125,-725.5,North
88.875,121.125,-748.0,North
88.875,123.125,-820.0,North
88.875,125.125,-789.5,North
88.875,127.125,-754.5,North
88.875,129.125,-656.5,North
88.875,131.125,-760.0,North
88.875,133.125,-776.5,North
88.875,135.125,-748.0,North
88.875,137.125,-769.0,North
88.875,139.125,-768.0,North
88.875,141.125,-770.5,North
88.875,143.125,-821.5,North
88.875,145.125,-998.5,North
88.875,147.125,-977.0,North
88.875,149.125,-928.5,North
88.875,151.125,-880.5,North
88.875,153.125,-833.0,North
88.875,155.125,-829.0,North
88.875,157.125,-822.5,North
88.875,159.125,-927.0,North
88.875,161.125,-932.5,North
88.875,163.125,-880.5,North
88.875,165.125,-786.0,North
88.875,167.125,-688.5,North
88.875,169.125,-672.5,North
88.875,171.125,-658.0,North
88.875,173.125,-859.0,North
88.875,175.125,-805.0,North
88.875,177.125,-796.5,North
88.875,179.125,-805.0,North
88.875,181.125,-856.0,North
88.875,183.125,-810.5,North
88.875,185.125,-896.5,North
88.875,187.125,-819.5,North
88.875,189.125,-803.5,North
88.875,191.125,-683.0,North
88.875,193.125,-589.0,North
88.875,195.125,-480.0,North
88.875,197.125,-389.5,North
88.875,199.125,-376.0,North
88.875,201.125,-341.0,North
88.875,203.125,-518.0,North
88.875,205.125,-529.0,North
88.875,207.125,-583.0,North
88.875,209.125,-557.5,North
88.875,211.125,-584.5,North
88.875,213.125,-407.5,North
88.875,215.125,-569.0,North
88.875,217.125,-599.0,North
88.875,219.125,-564.5,North
88.875,221.125,-629.0,North
88.875,223.125,-615.5,North
88.875,225.125,-363.0,North
88.875,227.125,-339.5,North
88.875,229.125,-417.0,North
88.875,231.125,-631.5,North
88.875,233.125,-856.5,North
88.875,235.125,-818.0,North
88.875,237.125,-725.5,North
88.875,239.125,-550.0,North
88.875,241.125,-616.0,North
